Thread 1: 23:34:33.752, Counter: 141
Thread 2: 23:34:34.002, Counter: 141
Thread 1: 23:34:34.017, Counter: 142
Thread 3: 23:34:34.079, Counter: 142
Thread 1: 23:34:34.282, Counter: 143
Thread 2: 23:34:34.516, Counter: 143
Thread 1: 23:34:34.547, Counter: 144
Thread 1: 23:34:34.811, Counter: 145
Thread 2: 23:34:35.026, Counter: 145
Thread 1: 23:34:35.073, Counter: 146
Thread 3: 23:34:35.088, Counter: 146
Thread 1: 23:34:35.338, Counter: 147
Thread 2: 23:34:35.537, Counter: 147
Thread 1: 23:34:35.598, Counter: 148
Thread 1: 23:34:35.862, Counter: 149
Thread 2: 23:34:36.049, Counter: 149
Thread 3: 23:34:36.096, Counter: 149
Thread 1: 23:34:36.128, Counter: 150
Thread 1: 23:34:36.392, Counter: 151
Thread 2: 23:34:36.564, Counter: 151
Thread 1: 23:34:36.658, Counter: 152
Thread 1: 23:34:36.923, Counter: 153
Thread 2: 23:34:37.077, Counter: 153
Thread 3: 23:34:37.108, Counter: 153
Thread 1: 23:34:37.186, Counter: 154
Thread 1: 23:34:37.449, Counter: 155
Thread 2: 23:34:37.588, Counter: 155
Thread 1: 23:34:37.711, Counter: 156
Thread 1: 23:34:37.977, Counter: 157
Thread 2: 23:34:38.101, Counter: 157
Thread 3: 23:34:38.117, Counter: 157
Thread 1: 23:34:38.241, Counter: 158
Thread 1: 23:34:38.508, Counter: 159
Thread 2: 23:34:38.617, Counter: 159
Thread 1: 23:34:38.760, Counter: 160
Thread 1: 23:34:39.022, Counter: 161
Thread 2: 23:34:39.130, Counter: 161
Thread 3: 23:34:39.130, Counter: 161
Thread 1: 23:34:39.286, Counter: 162
Thread 1: 23:34:39.550, Counter: 163
Thread 2: 23:34:39.643, Counter: 163
Thread 1: 23:34:39.815, Counter: 164
Thread 1: 23:34:40.079, Counter: 165
Thread 3: 23:34:40.142, Counter: 165
Thread 2: 23:34:40.158, Counter: 165
Thread 1: 23:34:40.346, Counter: 166
Thread 1: 23:34:40.607, Counter: 167
Thread 2: 23:34:40.668, Counter: 167
Thread 1: 23:34:40.869, Counter: 168
Thread 1: 23:34:41.135, Counter: 169
Thread 3: 23:34:41.150, Counter: 169
Thread 2: 23:34:41.182, Counter: 169
Thread 1: 23:34:41.399, Counter: 170
Thread 1: 23:34:41.662, Counter: 171
Thread 2: 23:34:41.692, Counter: 171
Thread 1: 23:34:41.925, Counter: 172
Thread 3: 23:34:42.158, Counter: 172
Thread 1: 23:34:42.188, Counter: 173
Thread 2: 23:34:42.203, Counter: 173
Thread 1: 23:34:42.452, Counter: 174
Thread 2: 23:34:42.716, Counter: 174
Thread 1: 23:34:42.723, Counter: 175
Thread 1: 23:34:42.998, Counter: 176
Thread 3: 23:34:43.171, Counter: 176
Thread 2: 23:34:43.232, Counter: 176
Thread 1: 23:34:43.263, Counter: 177
Thread 1: 23:34:43.524, Counter: 178
Thread 2: 23:34:43.742, Counter: 178
Thread 1: 23:34:43.789, Counter: 179
Thread 1: 23:34:44.055, Counter: 180
Thread 3: 23:34:44.178, Counter: 180
Thread 2: 23:34:44.257, Counter: 180
Thread 1: 23:34:44.318, Counter: 181
Thread 1: 23:34:44.582, Counter: 182
Thread 2: 23:34:44.767, Counter: 182
Thread 1: 23:34:44.856, Counter: 183
Thread 1: 23:34:45.108, Counter: 184
